"","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866","d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650611","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales","d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879"
"Telophorus_zeylonus",0.002062348,0.070011289,0.002561653,0.000390761,0.000173671,0.00060785,0.120636506,0,0.000260507,0.032433137
"Heteromys_desmarestianus",0.521037028,0.001619042,0.082760361,0.27677201,0.025189764,0.001282617,0,0.000925167,0,6.31e-05
"Theloderma_corticale",0.646427001,0.000837503,0.003203451,0.091497247,0.116580474,0.026465108,0,0.002261259,0.000125626,0
"Kobus_ellipsiprymnus",0.313464106,0.000718907,0.00100647,0.206367464,0.030173565,0.00895553,0,0.012200883,0.027380097,0.018917531
"Mercenaria_mercenaria",0.01157619,0.027396982,0,0,0.001381019,0,0.006641077,0.005828713,0.000182782,0.00069051
"Pseudechis_papuanus",0.016056429,0.9144327,4.02e-05,0.000200957,0.03325831,0,0,0.000200957,0.000582774,0.001105261
"Panthera_uncia",0.012266103,0.001056308,0.015930844,0.001552126,0.094679659,0.105911011,0.000150901,0.235319479,0.359618867,0.005928257
"Cacatua_galerita",0.822113876,0.013350353,0.020820691,0.00062776,0.005168553,0.001255519,0.034715102,0.000125552,0.00196698,0.001841428
"Lepidobatrachus_asper",0.407793217,0.012581642,0,0.052065795,0.035284105,0.018002849,0.008973671,0.025237293,0.00658686,0.000222029
"Parus_major",0.061229563,0.083985085,0.491863467,0.008241706,0.01413137,0,0.006233866,0.025279663,0.007495937,0.006979635
"Phoca_vitulina",0.008331972,0.005736172,0.002178293,5.45e-05,0.08295667,0.112926356,0,0.688558514,0.000272287,0.001470348
"Varanus_albigularis",0.323437786,0.048256063,0.012196363,0.074420215,0.031844929,0.009997353,0,0.051350966,0.00792051,0
"Crocidura_suaveolens",0,0.932603594,0.000752432,0.000483706,0.00014332,0.006843548,0.000376216,0.000125405,0,0.003815905
"Turdus_merula",0.179572997,0.294838081,0.453851671,0.001287262,0.028724324,0.00503871,0.002776807,0.000551684,0.003604333,0.000147116
"Chrysococcyx_basalis",0.311066201,0.001456558,0.011379361,0.020064089,0.19856529,0.000218484,0,0.004023742,0,0
"Spatula_discors",0.012885165,0.077310991,0.052195839,0.001072109,0.000992694,0.004248729,0.000198539,0.002064803,0.000555909,0.06480305
"Contopus_sordidulus",0.002252179,0.237098933,0.485981003,0.003916833,0.003851552,0.001501452,0.001697294,0.153703039,0,0
"Gallus_gallus",0.009032301,0.002031428,0.02538446,5.04e-05,0.056577799,0.206399839,0.000285407,0.386794037,0.000117521,0.000268619
"Tragelaphus_angasii",0.337631675,0,0.000379751,0.282452201,0.099065482,0,6.6e-05,0.021959515,0,0
"Dolichotis_patagonum",0.012002964,0.13227428,0.025858736,0,0,0,0.44723529,6.44e-05,0.005655088,0.288667268
"Pygathrix_nemaeus",0.128620656,0,0.000292578,0.047934072,0.051753844,0.00336465,0.045967296,0.001836741,0,0.187412633
"Phocoena_phocoena",0.006860279,0.010568096,0,0.110662834,0.268057234,0.064029271,0.000196008,0.018735095,0.516824018,0
"Mandrillus_leucophaeus",0.348134621,0.023291204,0.010011694,0.174555881,0.19145562,0.019927275,0.000224262,0.025870216,0,0.005446361
"Podarcis_siculus",0.121094059,0.771780618,0.008267211,0.003009138,0.008869039,0,0,0.000380102,0.000158376,0.000570153
"Polyplax_arvicanthis",0.017887961,0.008885676,0.014296376,0.00223891,0.008512524,0,0.01364336,0.002332198,0.00247213,0.044241802
"Caprimulgus_europaeus",0.000251873,0.542582331,0.440699578,0.000645425,0.000661167,0.010311064,0.000110195,0.000645425,0.000141679,0.000661167
"Priodontes_maximus",0.042020437,0.000315693,0.023510842,0.096053834,0.117770209,0.04939769,0.00076431,0.051690621,0,0.00036554
"Anthonomus_grandis",0.033784793,0.213812677,0.019120649,0.009037494,0.002663945,0.003834089,0.195115272,0.003336155,0.000871384,0.037967435
"Puma_yagouaroundi",0.038306547,0,0.003524076,0.00015803,0.15995828,0.021365698,0,0.637952559,0.079663079,0
"Philander_opossum",0.873391844,0.001444842,0.027175333,0.050062251,0.016046973,0,0,0.000169077,4.61e-05,0
"Potomida_littoralis",0.001713643,0.007340529,0.002404215,0.00196941,0.00757072,0.01245588,0.002148447,0.012097806,0.136682183,0.021586782
"Columba_guinea",0.020702139,0.001186456,0.914727267,0.003315993,0.011803718,0.002388123,0,0.000973502,0,0
"Alcelaphus_buselaphus",0.314562598,0.000539241,0.000939821,0.308815826,0.078436508,0.002295628,6.16e-05,0.021662096,0.026345792,6.16e-05
"Leuciscus_idus",0.013833209,0.124990096,0.008699235,0.01372229,0.008651698,0.002646215,0.000158456,0.030344325,0.74878385,0.000760589
"Aulostomus_chinensis",0.019657522,0.142530142,0.002323956,0.012598288,0.010169492,0.348750655,0.033024637,0.017019046,0.005853573,0.015498864
"Natrix_natrix",0.093562154,0.301109041,0.008295263,0.000390719,0.00198365,0.00447824,0.386571291,0.000631161,0.029995191,0.004703655
"Crassostrea_gigas",0.018600186,0.008535085,0,0,0.000360004,0,0.02503525,0.008235082,0.000600006,0
"Odocoileus_virginianus",0.310866535,0,0,0.330207645,0.081722797,0.000161421,0,0.017271994,0,0.000102722
"Hoplopleura_hirsuta",0.056555173,0.009532405,0.005151635,0.001823754,0.003045857,0.00071446,0.088442665,0.001052889,0,0.020775753
"Ciconia_ciconia",0,0.000164049,0.742949607,0,0.000596543,0.193414165,0,0.055567984,0,0
